iter	Passed	Remaining
0	146	146250
1	147	73850
2	149	49690
3	150	37526
4	151	30210
5	152	25322
6	153	21821
7	154	19180
8	155	17137
9	156	15521
10	158	14205
11	158	13058
12	159	12087
13	159	11252
14	160	10527
15	160	9897
16	161	9340
17	162	8843
18	162	8402
19	163	8004
20	163	7642
21	164	7314
22	165	7017
23	165	6742
24	166	6488
25	167	6261
26	167	6043
27	168	5841
28	168	5654
29	169	5478
30	170	5318
31	170	5167
32	171	5026
33	172	4890
34	172	4760
35	173	4637
36	173	4521
37	174	4411
38	174	4307
39	175	4207
40	175	4113
41	176	4029
42	177	3945
43	177	3864
44	178	3786
45	178	3712
46	179	3640
47	180	3571
48	180	3507
49	181	3444
50	181	3384
51	182	3326
52	183	3270
53	183	3215
54	184	3167
55	185	3119
56	185	3076
57	186	3029
58	187	2985
59	187	2940
60	188	2898
61	188	2857
62	189	2817
63	190	2781
64	190	2744
65	191	2707
66	191	2672
67	192	2637
68	192	2603
69	193	2570
70	194	2538
71	194	2507
72	195	2477
73	195	2448
74	196	2419
75	196	2391
76	197	2364
77	197	2337
78	198	2311
79	198	2286
80	199	2263
81	200	2240
82	200	2215
83	201	2193
84	201	2170
85	202	2149
86	202	2127
87	203	2106
88	203	2086
89	204	2066
90	204	2046
91	205	2027
92	205	2008
93	206	1990
94	207	1972
95	207	1955
96	208	1938
97	208	1921
98	209	1904
99	209	1888
100	210	1872
101	210	1856
102	211	1840
103	211	1825
104	212	1810
105	212	1795
106	213	1781
107	214	1769
108	214	1757
109	215	1744
110	216	1731
111	216	1718
112	217	1705
113	217	1692
114	218	1683
115	219	1671
116	219	1658
117	220	1647
118	220	1635
119	221	1624
120	221	1612
121	222	1600
122	222	1589
123	223	1578
124	224	1568
125	224	1557
126	225	1546
127	225	1537
128	226	1530
129	227	1520
130	227	1510
131	228	1501
132	228	1492
133	229	1484
134	230	1477
135	231	1469
136	232	1461
137	232	1455
138	233	1446
139	234	1439
140	234	1431
141	235	1422
142	236	1414
143	236	1406
144	237	1398
145	237	1390
146	238	1382
147	238	1374
148	239	1367
149	239	1359
150	240	1352
151	241	1345
152	241	1337
153	242	1330
154	242	1324
155	243	1317
156	244	1311
157	244	1304
158	245	1298
159	246	1291
160	246	1284
161	247	1278
162	247	1271
163	248	1265
164	248	1259
165	249	1252
166	249	1246
167	250	1240
168	251	1234
169	251	1228
170	252	1222
171	252	1217
172	253	1211
173	253	1205
174	254	1199
175	255	1194
176	255	1188
177	256	1183
178	256	1177
179	257	1172
180	257	1167
181	258	1161
182	259	1156
183	259	1152
184	260	1147
185	261	1142
186	261	1137
187	262	1132
188	262	1127
189	263	1123
190	264	1118
191	264	1113
192	265	1108
193	265	1104
194	266	1099
195	266	1094
196	267	1090
197	268	1085
198	268	1081
199	269	1076
200	269	1072
201	270	1068
202	270	1063
203	271	1059
204	272	1055
205	272	1051
206	273	1046
207	273	1042
208	274	1039
209	275	1035
210	276	1032
211	276	1028
212	277	1024
213	277	1020
214	278	1016
215	278	1012
216	279	1008
217	279	1004
218	280	1000
219	280	996
220	281	992
221	282	988
222	282	984
223	283	980
224	283	976
225	284	973
226	284	969
227	285	965
228	285	961
229	286	958
230	286	954
231	287	950
232	287	947
233	288	944
234	289	941
235	290	939
236	290	936
237	291	933
238	292	929
239	292	926
240	293	923
241	293	919
242	294	916
243	294	913
244	295	910
245	295	907
246	296	903
247	297	900
248	297	897
249	298	894
250	298	891
251	299	888
252	300	885
253	300	882
254	301	879
255	301	876
256	304	881
257	305	878
258	306	876
259	306	873
260	307	870
261	308	867
262	308	864
263	309	862
264	309	859
265	310	856
266	310	853
267	311	850
268	311	847
269	312	844
270	313	842
271	313	839
272	314	836
273	314	833
274	315	831
275	315	828
276	316	825
277	316	823
278	317	820
279	318	817
280	318	815
281	319	813
282	319	810
283	320	808
284	321	806
285	322	804
286	322	801
287	323	799
288	324	797
289	324	794
290	325	792
291	325	790
292	326	787
293	327	785
294	327	782
295	328	780
296	328	778
297	329	775
298	329	773
299	330	770
300	330	768
301	331	766
302	332	763
303	332	761
304	333	759
305	333	757
306	334	754
307	335	752
308	335	750
309	336	748
310	336	746
311	337	744
312	338	741
313	338	739
314	339	737
315	339	735
316	340	733
317	340	730
318	341	728
319	341	726
320	342	724
321	343	722
322	343	720
323	344	718
324	344	715
325	345	713
326	345	711
327	346	709
328	347	708
329	347	706
330	348	704
331	348	702
332	349	699
333	350	698
334	350	696
335	351	694
336	352	693
337	352	691
338	353	689
339	354	687
340	354	685
341	355	683
342	355	681
343	356	679
344	357	677
345	357	676
346	358	674
347	358	672
348	359	670
349	359	668
350	360	666
351	360	664
352	361	662
353	362	660
354	362	659
355	363	657
356	363	655
357	364	654
358	365	652
359	366	651
360	366	649
361	367	647
362	368	646
363	368	644
364	369	642
365	369	640
366	370	639
367	371	637
368	371	635
369	372	633
370	372	632
371	373	630
372	373	628
373	374	626
374	375	625
375	375	623
376	376	622
377	377	620
378	377	619
379	378	617
380	379	616
381	379	614
382	380	613
383	381	612
384	382	610
385	383	609
386	383	607
387	384	606
388	385	605
389	385	603
390	386	602
391	387	600
392	387	598
393	388	597
394	388	595
395	389	593
396	390	592
397	390	590
398	391	589
399	391	587
400	392	586
401	392	584
402	393	582
403	393	581
404	394	579
405	395	578
406	395	576
407	396	575
408	397	573
409	397	572
410	398	570
411	398	569
412	399	567
413	399	566
414	400	564
415	401	563
416	401	561
417	402	560
418	402	558
419	403	556
420	403	555
421	404	554
422	405	552
423	405	551
424	406	549
425	406	548
426	407	546
427	408	545
428	408	543
429	409	542
430	409	540
431	410	539
432	411	538
433	412	537
434	412	536
435	413	534
436	414	533
437	414	532
438	415	530
439	415	529
440	416	527
441	416	526
442	417	524
443	418	523
444	418	522
445	419	521
446	420	519
447	420	518
448	421	516
449	421	515
450	422	514
451	422	512
452	423	511
453	423	509
454	424	508
455	425	507
456	425	506
457	426	505
458	427	503
459	428	502
460	428	501
461	429	499
462	429	498
463	430	496
464	430	495
465	431	494
466	432	493
467	432	491
468	433	490
469	433	489
470	434	487
471	434	486
472	435	485
473	435	483
474	436	482
475	437	481
476	437	479
477	438	478
478	438	477
479	439	475
480	439	474
481	440	473
482	441	472
483	442	471
484	442	470
485	443	468
486	443	467
487	444	466
488	444	464
489	445	463
490	445	462
491	446	460
492	447	459
493	447	458
494	448	457
495	448	455
496	449	454
497	449	453
498	450	451
499	450	450
500	451	449
501	451	448
502	452	446
503	452	445
504	453	444
505	453	443
506	454	442
507	455	440
508	456	439
509	456	439
510	457	438
511	458	437
512	459	435
513	459	434
514	460	433
515	460	432
516	461	431
517	462	429
518	462	428
519	463	427
520	463	426
521	464	425
522	464	423
523	465	422
524	465	421
525	466	420
526	466	418
527	467	417
528	467	416
529	468	415
530	469	414
531	469	413
532	470	412
533	471	411
534	472	410
535	473	409
536	473	408
537	474	407
538	475	406
539	475	405
540	476	404
541	476	402
542	477	401
543	477	400
544	478	399
545	479	398
546	479	397
547	480	396
548	481	395
549	481	394
550	482	392
551	482	391
552	483	390
553	483	389
554	484	388
555	485	387
556	485	386
557	486	385
558	487	384
559	488	383
560	488	382
561	489	381
562	490	380
563	490	379
564	491	378
565	492	377
566	492	376
567	493	375
568	493	374
569	494	373
570	495	372
571	495	371
572	496	370
573	497	369
574	498	368
575	498	367
576	499	366
577	499	365
578	500	363
579	501	363
580	502	362
581	503	361
582	504	360
583	504	359
584	505	358
585	506	357
586	506	356
587	507	355
588	508	354
589	508	353
590	509	352
591	510	351
592	510	350
593	511	349
594	512	348
595	512	347
596	513	346
597	514	345
598	514	344
599	515	343
600	516	342
601	517	342
602	518	341
603	519	340
604	519	339
605	520	338
606	521	337
607	522	336
608	522	335
609	523	334
610	524	333
611	525	332
612	525	331
613	526	330
614	526	329
615	527	328
616	527	327
617	528	326
618	529	325
619	529	324
620	530	323
621	530	322
622	532	322
623	533	321
624	534	320
625	535	319
626	535	318
627	536	317
628	536	316
629	537	315
630	537	314
631	538	313
632	539	312
633	539	311
634	540	310
635	540	309
636	541	308
637	541	307
638	542	306
639	542	305
640	543	304
641	543	303
642	544	302
643	544	301
644	545	300
645	546	299
646	547	298
647	547	297
648	548	296
649	549	295
650	549	294
651	550	293
652	550	292
653	551	291
654	552	290
655	552	289
656	553	288
657	553	287
658	554	286
659	554	285
660	555	284
661	555	283
662	556	282
663	556	281
664	557	280
665	558	279
666	558	278
667	559	277
668	559	276
669	560	275
670	560	274
671	561	274
672	562	273
673	563	272
674	563	271
675	564	270
676	564	269
677	565	268
678	565	267
679	566	266
680	567	265
681	567	264
682	568	263
683	568	262
684	569	261
685	569	260
686	570	259
687	571	258
688	571	258
689	572	257
690	572	256
691	573	255
692	573	254
693	574	253
694	575	252
695	575	251
696	576	250
697	577	249
698	578	248
699	578	248
700	579	247
701	579	246
702	580	245
703	580	244
704	581	243
705	582	242
